generator:output:electricity,manufacturer,model,name,longitude,latitude
,AN Bonus,1300/62,,9.6287552,53.6920027
,AN Bonus,1300/62,,9.628252,53.6935479
1500 W,Südwind,S77,,8.24263,52.2128692
1500 W,Südwind,S77,,8.2420811,52.2145327
750 kW,Frisia,F45,,8.9708479,52.3093454
2000 kW,REpower,MM92,R90005_01,6.1409584,50.8915748
2000 kW,REpower,MM92,R90004_02,6.1405846,50.8949989
2 MW,,,,10.2374203,53.4184661
2 MW,,,,10.2347748,53.4225331
2 MW,,,,10.2398236,53.4214788
0.5 MW,,,,8.6483725,53.1316998
,,,,8.6698431,53.1460725
,,,,8.6751439,53.1448172
,,,,8.667523,53.1424363
,,,,8.6730229,53.1410148
,,,,8.6656262,53.1388407
,,,,8.6711069,53.1375403
600 kW,,,,9.8390318,53.4966185
600 kW,,,,9.8398032,53.498097
600 kW,,,,9.8403098,53.4996271
600 kW,,,,9.8491033,53.497193
600 kW,,,,9.8499414,53.4997388
600 kW,,,,9.8411747,53.5014326
600 kW,,,,9.8508038,53.5021484
600,NEG Micon,,,10.1031795,53.4538182
600,NEG Micon,,,10.0995918,53.4548813
yes,Enercon,E-66,,6.3510627,50.6460196
,,,,6.5648044,51.5714291
,,,,6.5656811,51.5695368
,,,,6.5614388,51.5716191
,,,,6.5650481,51.5677369
,,,,6.5556469,51.5744967
1.5 MW,Südwind,S-77,,6.5009283,51.4847151
1 MW,Enercon,E-58/10.58,,6.4368978,51.4596869
1 MW,Enercon,E-58/10.58,,6.4393497,51.4581857
1 MW,Enercon,E-58/10.58,,6.4427686,51.4570931
1 MW,Enercon,E-58/10.58,,6.4456182,51.4561893
1 MW,Enercon,E-58/10.58,,6.4204844,51.4646394
1 MW,Enercon,E-58/10.58,,6.4273438,51.4657157
1 MW,Enercon,E-58/10.58,,6.4272784,51.4680407
,,,,9.5108511,53.3734722
,,,,9.5165804,53.3763908
,,,,9.5154431,53.372256
,,,,9.5146814,53.369177
1500 kW,,,,10.0326464,53.5076832
3400 kW,Senvion,3.4M104,,10.031295,53.510157
1500 kW,Enercon,,,9.9562709,53.4922754
1500 kW,Enercon,,,9.9574372,53.4906984
1800 kW,Enercon,E-66,,6.1992659,50.8416028
,,,Nordex N-90 2.5 MW,7.9253328,52.4524238
,,,,10.1007375,52.3266394
,,,,10.1052342,52.3257605
,,,,10.1001612,52.3216745
,,,,10.1059406,52.3212313
,,,,10.1007152,52.3240918
1.5 MW,Herrmannsdorfer Landwerkstätten,,E-66-Windkraftanlage Südkronsberg,9.8385837,52.3167164
,,,,9.9209781,52.2864024
,,,Martina,9.9204309,52.2842226
,,,,9.9057161,52.2700282
,,,,9.906627,52.267862
,,,,9.9072242,52.2658193
,,,,9.9080441,52.2631617
,,,,9.9131667,52.267186
,,,,9.9122998,52.2693763
,,,Ariel,9.9106256,52.2735731
,,,,9.6535881,52.2616522
,,,,9.7446823,52.1884479
,,,,9.7389477,52.1882911
,,,,9.7334187,52.1881072
,,,,9.7448032,52.1926426
,,,,9.7448964,52.1957088
,,,,9.7381453,52.1963045
1500 kW,,,Florian / NX70278,9.7909634,52.2344442
,,,,7.8577886,53.3870973
,,,,7.863769,53.3882981
,,,,7.852009,53.3911661
,,,,7.8516067,53.3883072
,,,,7.8487067,53.3852736
,,,,7.8432306,53.3841883
,,,,7.8464289,53.3900604
,,,,7.8606684,53.3910718
,,,,7.8560146,53.3900116
,,,SW 70108,9.9343347,52.2046187
,,,E44533/01,12.2860167,51.0980501
