Unit MaStR Number,Postal Code,Longitude,Latitude,Gross Power (kW),Net Rated Power (kW),Generation MaStR Number,Name of Wind Farm,Location,Hub Height (m),Rotor Diameter (m),EEG MaStR Number,Date of Final Decommissioning,North Sea Cluster,Baltic Sea Cluster
SEE916103413510,26736,7.090586,53.457167,2300,2300,SGE982132658543,WEA R ??? R GbR,888,64,71,,,,
SEE937266806414,79348,7.93965,48.196672,4260,4260,SGE900298526629,Windpark Freiamt Hohe Eck,888,110.24,138.25,,,,
SEE903454750395,46499,,,1,1,,Windkraftrad 1,888,2,1.5,,,,
SEE974285566158,91056,,,0.6,0.6,,Taunusstra??e 35,888,9,1.51,,,,
SEE941718698373,54320,6.776752,49.747497,4260,4260,SGE923018536319,Windpark Waldrach UW Osburg,888,160,138,,,,
SEE970072937835,54320,6.779401,49.745128,5560,5560,SGE943983369637,Windpark Waldrach UW Osburg,888,166.6,160,,,,
SEE915862910469,17291,13.710987,53.321542,5700,5700,SGE989977272651,Sch??nermark Repowering,888,125.4,149.1,,,,
SEE968844223125,17291,13.716966,53.323449,6800,6800,SGE989977272651,Sch??nermark Repowering,888,118,163,,,,
SEE919081228633,25853,,,3.5,3.5,,Keusgen Wind,888,8,3,,,,
SEE980222464746,54320,6.782952,49.743064,5560,5560,SGE944947912098,Windpark Waldrach UW Osburg,888,166.6,80,,,,
SEE959642278745,54597,6.397105,50.290955,5700,5700,SGE941700608991,evm Windpark Schneifelh??he,888,164,163,,,,
SEE953369992847,54597,6.403572,50.29235,5700,5700,SGE941700608991,evm Windpark Schneifelh??he,888,164,163,,,,
SEE903717172667,54597,6.408825,50.291802,5700,5700,SGE941700608991,evm Windpark Schneifelh??he,888,164,163,,,,
SEE915539111670,54597,6.399683,50.288215,5700,5700,SGE941700608991,evm Windpark Schneifelh??he,888,164,163,,,,
SEE994126246414,54597,6.405646,50.288303,5700,5700,SGE941700608991,evm Windpark Schneifelh??he,888,164,163,,,,
SEE941752235879,34388,9.349399,51.552242,4500,4500,SGE906275392782,Windpark Trendelburg II,888,164,149.1,,,,
SEE978968024973,54597,6.40258,50.281435,5700,5700,SGE941700608991,evm Windpark Schneifelh??he,888,164,163,,,,
SEE945273777870,54595,6.391528,50.278686,5700,5700,SGE941700608991,evm Windpark Schneifelh??he,888,164,163,,,,
SEE959466961434,54608,6.354139,50.25806,5700,5700,SGE904045513078,evm Windpark Schneifelh??he SW,888,164,163,,,,
SEE954956079835,54608,6.350194,50.255325,5700,5700,SGE904045513078,evm Windpark Schneifelh??he SW,888,164,163,,,,
SEE956132259871,54608,6.343248,50.250795,5700,5700,SGE904045513078,evm Windpark Schneifelh??he SW,888,164,163,,,,
SEE914358233419,54608,6.352716,50.251335,5700,5700,SGE904045513078,evm Windpark Schneifelh??he SW,888,164,163,,,,
SEE923084253738,74572,,,0.6,0.6,,71228 steckerfertige Erzeugungsanlage,888,7,1.5,EEG916043931631,1/25/2024,,
SEE941273251747,7806,11.781886,50.702812,6200,6200,SGE947744036486,Windpark Schmieritz,888,166,162,,,,
SEE992175763197,7806,11.781662,50.698536,6200,6200,SGE947744036486,Windpark Schmieritz,888,166,162,,,,
SEE982459775589,48624,7.266751,52.087186,4800,4800,SGE945340054736,WEA 4,888,164,133,,,,
SEE964835940767,37696,9.192298,51.824308,6600,6600,SGE988287227016,BW Marienm??nster,888,165,170,,,,
SEE917673305601,99628,11.344638,51.174415,6000,6000,SGE956665602564,Olbersleben,888,169,162,,,,
SEE911726863506,33181,8.751438,51.561279,2350,2350,SGE982645499459,WP Eilerberg,888,108.38,103,,,,
SEE990848902300,27308,9.28519,53.015711,7200,7200,SGE910324172232,Holtumer Moor,888,169,162,,,,
SEE923394966250,37696,9.199486,51.822165,6600,6600,SGE958711515316,BW Marienm??nster,888,165,170,,,,
SEE900433381939,37696,9.206555,51.822917,6600,6600,SGE935519240091,BW Marienm??nster,888,165,170,,,,
SEE981050560624,37696,9.20661,51.819006,6600,6600,SGE913210965291,BW Marienm??nster,888,165,170,,,,
SEE959749557583,34479,9.226698,51.464397,5700,5700,SGE916637906052,Windpark Breuna,888,164,149,,,,
SEE932842225825,34479,9.226185,51.459641,5500,5500,SGE910683305852,Windpark Breuna,888,161,158,,,,
SEE993748050560,34479,9.230246,51.457169,5500,5500,SGE910683305852,Windpark Breuna,888,161,158,,,,
SEE946327819690,33034,9.112123,51.686215,5500,5500,SGE999621230142,Windpark Schmechten,888,161,158,,,,
SEE907313143472,24366,9.910748,54.52194,4200,4200,SGE954034319525,Windewitt,888,92,115,,,,
SEE913207046392,61276,8.368441,50.304601,6200,6200,SGE905475627632,ABO Wind WP Weilrod II,888,169,162,,,,
SEE934309224037,61276,8.373826,50.308227,6200,6200,SGE905475627632,ABO Wind WP Weilrod II,888,169,162,,,,
SEE904956976245,61276,8.379494,50.312806,6200,6200,SGE905475627632,ABO Wind WP Weilrod II,888,169,162,,,,
SEE963033475668,41569,6.718304,51.023503,3450,3450,SGE954407548026,ABO Wind WP Rommerskirchen Gill 3,888,117,126,,,,
SEE979727732832,36166,9.7383,50.7951,6600,6600,SGE975435316753,WP Odensachsen,888,165,170,,,,
SEE958241414844,36166,9.7315,50.7917,6600,6600,SGE975435316753,WP Odensachsen,888,165,170,,,,
